,serial number,timestamp,ID,App ID,Function,Attribute,Value,Lower bound,Upper bound
0,2,2023-11-10 11:51:57.091402,5f1c55c8ea92af4d99d03137,447461,APPLICATIONROW_CLICKED_Applications_List,,447461,,
1,3,2023-11-10 11:51:57.606448,5f1c55c8ea92af4d99d03137,270173,APPLICATIONROW_CLICKED_Applications_List,,270173,,
2,4,2023-11-10 11:52:24.247806,5f1c55c8ea92af4d99d03137,140135,APPLICATIONROW_CLICKED_Applications_List,,140135,,
3,5,2023-11-10 11:52:48.162517,5f1c55c8ea92af4d99d03137,140135,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0.0,0.0
4,6,2023-11-10 11:53:54.256695,5f1c55c8ea92af4d99d03137,270173,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Goods Price', 'value': '0.071'}, {'attribute': 'Loan Credit amount ', 'value': '0.086'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.062""},{""attribute"":""Loan Credit amount "",""value"":""0.086""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.058""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.056""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.056""},{""attribute"":""Years since changing registration"",""value"":""0.058""},{""attribute"":""Years since changing  identity document"",""value"":""0.043""},{""attribute"":""Has Mobile"",""value"":""0""},{""attribute"":""Has Employee Phone"",""value"":""0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0.0,0.0
5,7,2023-11-10 11:54:37.048589,5f1c55c8ea92af4d99d03137,447461,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Goods Price', 'value': '0.075'}, {'attribute': 'Income', 'value': '0.075'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.061""},{""attribute"":""Loan Credit amount "",""value"":""0.085""},{""attribute"":""Loan annuity"",""value"":""0.032""},{""attribute"":""Goods Price"",""value"":""0.07""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.055""},{""attribute"":""Age"",""value"":""0.066""},{""attribute"":""Years in current employment"",""value"":""0.055""},{""attribute"":""Years since changing registration"",""value"":""0.057""},{""attribute"":""Years since changing  identity document"",""value"":""0.042""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.034""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.028""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.03""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.028""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.034""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.036""}]'}",0.0,0.0
6,8,2023-11-10 11:55:15.589080,5f1c55c8ea92af4d99d03137,198395,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Goods Price', 'value': '0.082'}, {'attribute': 'Occupation Type', 'value': '0.061'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.073""},{""attribute"":""Loan Credit amount "",""value"":""0.083""},{""attribute"":""Loan annuity"",""value"":""0.031""},{""attribute"":""Goods Price"",""value"":""0.073""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.054""},{""attribute"":""Age"",""value"":""0.065""},{""attribute"":""Years in current employment"",""value"":""0.054""},{""attribute"":""Years since changing registration"",""value"":""0.056""},{""attribute"":""Years since changing  identity document"",""value"":""0.041""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.019""},{""attribute"":""Application Hour"",""value"":""0.033""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.013""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.015""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.027""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.029""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.019""},{""attribute"":""Owns Car"",""value"":""0.027""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.015""},{""attribute"":""Highest education level"",""value"":""0.017""},{""attribute"":""Family status"",""value"":""0.017""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.033""},{""attribute"":""Application Day"",""value"":""0.021""},{""attribute"":""Employer organization"",""value"":""0.035""}]'}",0.0,0.0
7,9,2023-11-10 11:55:44.504421,5f1c55c8ea92af4d99d03137,427794,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Income', 'value': '0.076'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.07""},{""attribute"":""Loan Credit amount "",""value"":""0.08""},{""attribute"":""Loan annuity"",""value"":""0.03""},{""attribute"":""Goods Price"",""value"":""0.079""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.052""},{""attribute"":""Age"",""value"":""0.062""},{""attribute"":""Years in current employment"",""value"":""0.052""},{""attribute"":""Years since changing registration"",""value"":""0.054""},{""attribute"":""Years since changing  identity document"",""value"":""0.039""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.018""},{""attribute"":""Application Hour"",""value"":""0.032""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.012""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.014""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.026""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.018""},{""attribute"":""Owns Car"",""value"":""0.026""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.014""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.016""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.059""},{""attribute"":""Application Day"",""value"":""0.02""},{""attribute"":""Employer organization"",""value"":""0.034""}]'}",0.0,0.0
8,10,2023-11-10 11:56:41.874249,5f1c55c8ea92af4d99d03137,389544,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [{'attribute': 'Age', 'value': '0.07'}, {'attribute': 'Income type', 'value': '0.041'}, {'attribute': 'Goods Price', 'value': '0.079'}, {'attribute': 'Income', 'value': '0.079'}, {'attribute': 'Occupation Type', 'value': '0.058'}], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.075""},{""attribute"":""Loan Credit amount "",""value"":""0.079""},{""attribute"":""Loan annuity"",""value"":""0.03""},{""attribute"":""Goods Price"",""value"":""0.078""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.051""},{""attribute"":""Age"",""value"":""0.061""},{""attribute"":""Years in current employment"",""value"":""0.051""},{""attribute"":""Years since changing registration"",""value"":""0.053""},{""attribute"":""Years since changing  identity document"",""value"":""0.039""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.018""},{""attribute"":""Application Hour"",""value"":""0.032""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.012""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.014""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.026""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.028""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.018""},{""attribute"":""Owns Car"",""value"":""0.026""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.014""},{""attribute"":""Highest education level"",""value"":""0.016""},{""attribute"":""Family status"",""value"":""0.016""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.058""},{""attribute"":""Application Day"",""value"":""0.02""},{""attribute"":""Employer organization"",""value"":""0.034""}]'}",0.0,0.0
9,11,2023-11-10 11:57:11.843565,5f1c55c8ea92af4d99d03137,259225,OKBUTTON_CLICKED_DECIDE_MODAL_Applications_List,checked,"{'changed_weights': [], 'initial_weights': '[{""attribute"":""Number of children"",""value"":""0.009""},{""attribute"":""Income"",""value"":""0.076""},{""attribute"":""Loan Credit amount "",""value"":""0.076""},{""attribute"":""Loan annuity"",""value"":""0.029""},{""attribute"":""Goods Price"",""value"":""0.076""},{""attribute"":""Region\'s Normalized Population"",""value"":""0.049""},{""attribute"":""Age"",""value"":""0.067""},{""attribute"":""Years in current employment"",""value"":""0.049""},{""attribute"":""Years since changing registration"",""value"":""0.051""},{""attribute"":""Years since changing  identity document"",""value"":""0.037""},{""attribute"":""Has Mobile"",""value"":""0.0""},{""attribute"":""Has Employee Phone"",""value"":""0.0""},{""attribute"":""Has Work Phone"",""value"":""0.006""},{""attribute"":""Mobile reachable"",""value"":""0.0""},{""attribute"":""Has Phone"",""value"":""0.009""},{""attribute"":""Has email"",""value"":""0.009""},{""attribute"":""Number of family members"",""value"":""0.007""},{""attribute"":""Region\'s Rating"",""value"":""0.011""},{""attribute"":""Region & City Rating"",""value"":""0.017""},{""attribute"":""Application Hour"",""value"":""0.031""},{""attribute"":""Contact address located in Registration region"",""value"":""0.002""},{""attribute"":""Work address located in Registration region"",""value"":""0.004""},{""attribute"":""Contact address located in work region"",""value"":""0.0""},{""attribute"":""Contact city in Registration city"",""value"":""0.011""},{""attribute"":""Work address in Registration city"",""value"":""0.006""},{""attribute"":""Contact city in work city"",""value"":""0.0""},{""attribute"":""Number of times social circle at default risk for 30 days"",""value"":""0.011""},{""attribute"":""Number of times social circle defaulted on loan for 30 days"",""value"":""0.013""},{""attribute"":""Number of times social circle were at risk to default on loan for 60 days"",""value"":""0.007""},{""attribute"":""Number of times social circle defaulted on loan for 60 days"",""value"":""0.006""},{""attribute"":""Years since changing phone"",""value"":""0.025""},{""attribute"":""Number of Credit Bureau enquiries 1 hour before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 1 day before application"",""value"":""0.011""},{""attribute"":""Number of Credit Bureau enquiries 1 week before application"",""value"":""0.007""},{""attribute"":""Number of Credit Bureau enquiries 1 month before application"",""value"":""0.006""},{""attribute"":""Number of Credit Bureau enquiries 3 month before application"",""value"":""0.004""},{""attribute"":""Number of Credit Bureau enquiries 1 year before application"",""value"":""0.027""},{""attribute"":""Installments"",""value"":""0.007""},{""attribute"":""Gender"",""value"":""0.017""},{""attribute"":""Owns Car"",""value"":""0.025""},{""attribute"":""Owns Property"",""value"":""0.011""},{""attribute"":""Accompanied while applying"",""value"":""0.009""},{""attribute"":""Income type"",""value"":""0.039""},{""attribute"":""Highest education level"",""value"":""0.015""},{""attribute"":""Family status"",""value"":""0.015""},{""attribute"":""Housing situation"",""value"":""0.007""},{""attribute"":""Occupation Type"",""value"":""0.056""},{""attribute"":""Application Day"",""value"":""0.019""},{""attribute"":""Employer organization"",""value"":""0.033""}]'}",0.0,0.0
